manufacturer,head_model,nozzle_model,pressure_psi,flow_gpm,radius_ft,arc_degrees,precip_square_in_hr,precip_triangle_in_hr,notes
Hunter,PGP-ADJ,Grey-4-LA,30,1.4,22,180,0.56,0.64,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-4-LA,40,1.7,24,180,0.57,0.66,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-4-LA,50,1.8,26,180,0.51,0.59,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-4-LA,60,2.0,28,180,0.49,0.57,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-5-LA,30,1.6,25,180,0.49,0.57,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-5-LA,40,1.9,27,180,0.5,0.58,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-5-LA,50,2.1,28,180,0.52,0.6,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-5-LA,60,2.3,30,180,0.49,0.57,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-6-LA,30,2.1,27,180,0.55,0.64,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-6-LA,40,2.5,30,180,0.53,0.62,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-6-LA,50,2.8,33,180,0.49,0.57,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-6-LA,60,3.0,35,180,0.47,0.54,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-7-LA,30,2.8,29,180,0.64,0.74,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-7-LA,40,3.1,32,180,0.58,0.67,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-7-LA,50,3.5,35,180,0.55,0.64,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-7-LA,60,3.8,37,180,0.53,0.62,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-8-LA,30,3.4,31,180,0.68,0.79,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-8-LA,40,3.9,34,180,0.65,0.75,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-8-LA,50,4.4,37,180,0.62,0.71,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-8-LA,60,4.7,38,180,0.63,0.72,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-9-LA,30,4.3,33,180,0.76,0.88,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-9-LA,40,5.0,37,180,0.7,0.81,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-9-LA,50,5.6,40,180,0.67,0.78,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-9-LA,60,6.1,42,180,0.67,0.77,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-10-LA,40,6.5,38,180,0.87,1.0,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-10-LA,50,7.3,40,180,0.88,1.01,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-10-LA,60,8.0,42,180,0.87,1.01,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Grey-10-LA,70,8.6,44,180,0.86,0.99,Source: https://www.hunterirrigation.com/print/pdf/node/861
