manufacturer,head_model,nozzle_model,pressure_psi,flow_gpm,radius_ft,arc_degrees,precip_square_in_hr,precip_triangle_in_hr,notes
Hunter,PGP-ADJ,Red-1,30,0.5,28,180,0.12,0.14,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-1,40,0.6,29,180,0.14,0.16,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-1,50,0.7,29,180,0.16,0.19,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-1,60,0.8,30,180,0.17,0.2,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-2,30,0.7,29,180,0.16,0.19,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-2,40,0.8,30,180,0.17,0.2,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-2,50,0.9,30,180,0.19,0.22,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-2,60,1.0,31,180,0.2,0.23,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-3,30,0.9,30,180,0.19,0.22,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-3,40,1.0,31,180,0.2,0.23,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-3,50,1.2,31,180,0.24,0.28,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-3,60,1.3,32,180,0.24,0.28,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-4,30,1.2,32,180,0.23,0.26,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-4,40,1.4,33,180,0.25,0.29,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-4,50,1.6,34,180,0.27,0.31,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-4,60,1.8,34,180,0.3,0.35,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-5,30,1.6,32,180,0.3,0.35,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-5,40,1.8,36,180,0.27,0.31,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-5,50,2.0,38,180,0.27,0.31,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-5,60,2.2,38,180,0.29,0.34,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-6,30,2.0,34,180,0.33,0.38,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-6,40,2.4,36,180,0.36,0.41,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-6,50,2.7,38,180,0.36,0.42,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-6,60,2.9,38,180,0.39,0.45,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-7,30,2.6,34,180,0.43,0.5,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-7,40,3.0,38,180,0.4,0.46,Source: https://www.hunterirrigation.com/print/pdf/node/861
